,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Africa,Asia,Europe,North America,Oceania,South America
26,0.0,0.0,2.521,0.7641,1.3,74.71,68.79,42.815,35.19,163.755,42.349999999999994,18.574,11.976,31400.84,0.5,109.135,7.97,29.0,37.8,97.164,4.51,83.73,0.868,0,0,1,0,0,0
27,2701.864,0.0,2.366,0.6635,1.5,74.71,68.79,42.815,35.19,163.755,42.349999999999994,18.574,11.976,31400.84,0.5,109.135,7.97,29.0,37.8,97.164,4.51,83.73,0.868,0,0,1,0,0,0
28,3.242,0.0,0.064,0.0415,24.1,29.47,14.38,0.895,70.37,23.89,16.8,2.405,1.362,5819.495,36.8,276.045,3.94,1.6,24.6,26.664,1.2000000000000002,61.15,0.581,1,0,0,0,0,0
29,1.208,0.0,0.073,0.0263,38.0,29.47,14.38,0.895,70.37,23.89,16.8,2.405,1.362,5819.495,36.8,276.045,3.94,1.6,24.6,26.664,1.2000000000000002,61.15,0.581,1,0,0,0,0,0
30,1.532,0.029,0.081,0.0217,46.2,29.47,14.38,0.895,70.37,23.89,16.8,2.405,1.362,5819.495,36.8,276.045,3.94,1.6,24.6,26.664,1.2000000000000002,61.15,0.581,1,0,0,0,0,0
31,0.619,0.0,0.082,0.0161,62.3,29.47,14.38,0.895,70.37,23.89,16.8,2.405,1.362,5819.495,36.8,276.045,3.94,1.6,24.6,26.664,1.2000000000000002,61.15,0.581,1,0,0,0,0,0
32,0.324,0.0,0.082,0.0151,66.2,29.47,14.38,0.895,70.37,23.89,16.8,2.405,1.362,5819.495,36.8,276.045,3.94,1.6,24.6,26.664,1.2000000000000002,61.15,0.581,1,0,0,0,0,0
33,0.383,0.0,0.082,0.0147,67.8,29.47,14.38,0.895,70.37,23.89,16.8,2.405,1.362,5819.495,36.8,276.045,3.94,1.6,24.6,26.664,1.2000000000000002,61.15,0.581,1,0,0,0,0,0
34,1.326,0.0,0.071,0.0174,57.4,29.47,14.38,0.895,70.37,23.89,16.8,2.405,1.362,5819.495,36.8,276.045,3.94,1.6,24.6,26.664,1.2000000000000002,61.15,0.581,1,0,0,0,0,0
35,0.0,0.0,1.0314999999999999,0.20350000000000001,4.9,64.06,61.27,11.22,42.59,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,5.3,19.75,85.198,3.8,77.02,0.778,0,0,0,1,0,0
36,1063.528,0.0,1.0314999999999999,0.20350000000000001,4.9,64.06,61.27,11.22,42.59,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,5.3,19.75,85.198,3.8,77.02,0.778,0,0,0,1,0,0
37,0.0,0.0,1.0314999999999999,0.20350000000000001,4.9,64.06,61.27,11.22,42.59,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,5.3,19.75,85.198,3.8,77.02,0.778,0,0,0,1,0,0
38,0.0,0.0,1.0314999999999999,0.20350000000000001,4.9,64.06,61.27,11.22,42.59,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,5.3,19.75,85.198,3.8,77.02,0.778,0,0,0,1,0,0
39,0.0,0.0,1.0314999999999999,0.20350000000000001,4.9,64.06,61.27,11.22,42.59,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,5.3,19.75,85.198,3.8,77.02,0.778,0,0,0,1,0,0
