,iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
837,NZL,Oceania,New Zealand,2/5/2022,3467.023,44.281,10.339,0.0,3.757,,,tests performed,82.02,76.76,31.24,62.04,5126300,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
838,NZL,Oceania,New Zealand,2/6/2022,3508.964,41.941,10.339,0.0,3.654,,,tests performed,82.06,76.77,31.73,62.04,5126300,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
839,NZL,Oceania,New Zealand,2/7/2022,3560.658,51.694,10.339,0.0,3.759,,,tests performed,82.1,76.78,32.09,62.04,5126300,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
903,PNG,Oceania,Papua New Guinea,2/1/2022,4087.069,44.303,65.468,0.0,,,,,,,,60.65,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
904,PNG,Oceania,Papua New Guinea,2/2/2022,4100.228,13.159,65.468,0.0,,,,,,,,60.65,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
905,PNG,Oceania,Papua New Guinea,2/3/2022,4100.228,0.0,65.468,0.0,,,,,,,,60.65,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
906,PNG,Oceania,Papua New Guinea,2/4/2022,4100.228,0.0,65.468,0.0,,,,,,,,60.65,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
907,PNG,Oceania,Papua New Guinea,2/5/2022,4100.228,0.0,65.468,0.0,,,,,,,,60.65,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
908,PNG,Oceania,Papua New Guinea,2/6/2022,4100.228,0.0,65.468,0.0,,,,,,,,60.65,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
909,PNG,Oceania,Papua New Guinea,2/7/2022,4143.873,43.645,65.468,0.0,,,,,3.24,2.57,,60.65,9119005,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
